PERSON_ID,PERSON_TYPE,CRASH_RECORD_ID,VEHICLE_ID,SEX,AGE,AIRBAG_DEPLOYED,EJECTION,INJURY_CLASSIFICATION,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,PEDPEDAL_ACTION,PEDPEDAL_VISIBILITY,PEDPEDAL_LOCATION,BAC_RESULT,BAC_RESULT VALUE,CELL_PHONE_USE,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,DOORING_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,geometry,YEAR,SEASON,SEX_R,SEASON_R,PERSON_TYPE_R,AIRBAG_DEPLOYED_R,INJURY_CLASSIFICATION_R,EJECTION_R
O1302760,DRIVER,b27942ca3372fdfa517b60c2b0b0c5a26d5f2ed8ed4c488b8d183452341377cca49028fd9015e1f682287dfc9c3e3bbc615fc2c36f93bc93e46e5aea13934a7d,1237279.0,M,48.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,UNKNOWN,NORMAL,,,,TEST NOT OFFERED,,,,2022-03-18 19:20:00,15,UNKNOWN,DARKNESS,REAR TO SIDE,PARKING LOT,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",03/21/2022 03:49:00 PM,IMPROPER BACKING,IMPROPER BACKING,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19,6,3,41.799629744,-87.590941436,POINT (-87.590941436265 41.799629744251),POINT (1186674.0301492559 1870449.6941085933),2022,Spring,1.0,2,1,2.0,0.0,0.0
O1307735,DRIVER,d6aa4784637bef0fc6a536ea0e782a50831016772626ab3df00536ec70f708b343fbe8089cde6930b9637d4b88812fc9cfcc326a385619dfbb9259d64dcbe795,1241955.0,M,83.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-03-29 22:00:00,30,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",03/29/2022 11:56:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,22,3,3,42.019173074,-87.666166288,POINT (-87.666166288415 42.019173073836),POINT (1165540.4919468455 1950283.2747247398),2022,Spring,1.0,2,1,2.0,0.0,0.0
O1361052,DRIVER,5e2413bd67929c87d4bea76688c85e9e83d90e6c8210eb74c98df1c59e7b41259fbc134759ec9f8dfb71e516b703a906626b3c670ea83c29a09dcc7a5f9eb12e,1293249.0,M,34.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,UNKNOWN,,,,TEST NOT OFFERED,,,,2022-06-17 17:30:00,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",06/18/2022 11:00:00 AM,IMPROPER LANE USAGE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,17,6,6,41.892496393,-87.634251019,POINT (-87.634251018615 41.892496392999),POINT (1174589.4997983591 1904191.0099711567),2022,Summer,1.0,3,1,2.0,0.0,0.0
O1316395,PEDESTRIAN,70a6fcf554ccdc0e58354e9a4ee6f7674c9f693bd56716e807e88c46ef93321fb628709d487f31a18cec54db9dc792ad2e4635ec6e3adc216c3c9e60baa909d6,,F,18.0,,,NONINCAPACITATING INJURY,OTHER,OTHER,NORMAL,CROSSING - WITH SIGNAL,NO CONTRASTING CLOTHING,IN CROSSWALK,TEST NOT OFFERED,,,Y,2022-04-12 14:40:00,30,CLEAR,DAYLIGHT,PEDESTRIAN,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"$501 - $1,500",04/12/2022 04:47:00 PM,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",NOT APPLICABLE,,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,1.0,0.0,14,3,4,41.946202792,-87.744683143,POINT (-87.744683142672 41.946202791686),POINT (1144387.6270849875 1923536.0355950596),2022,Spring,0.0,2,3,,1.0,
O1331100,DRIVER,bfe2ba40911fe69cf8c391e1d9d01299ea444a70bf26b31d5d16c2e0dfdcd43972d0cdea7f2415cc72c90630aa35683cc94dacb21b878fa8ffd014e1b83ad00d,1264486.0,F,32.0,DEPLOYMENT UNKNOWN,UNKNOWN,NO INDICATION OF INJURY,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,,,2022-05-06 09:55:00,35,UNKNOWN,UNKNOWN,REAR END,UNKNOWN,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",05/06/2022 10:38:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,9,6,5,41.736747167,-87.589891694,POINT (-87.589891693835 41.736747166523),POINT (1187158.321138501 1847538.2234767277),2022,Spring,0.0,2,1,4.0,0.0,0.0
O1388825,DRIVER,9dd0a117e407181a2d053ddd2e1fcaeb46999edd3269d94899334de5183ccfde0e8e5e1cb0fd4e33aa1bd57e45745cc675ec8bb27d1c573b6ee130c16d6e96d8,1319615.0,M,33.0,"DEPLOYED, COMBINATION",NONE,NO INDICATION OF INJURY,UNKNOWN,UNKNOWN,NORMAL,,,,TEST NOT OFFERED,,,N,2022-07-30 02:12:00,30,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,"FIVE POINT, OR MORE",,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",07/30/2022 02:27:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,3.0,0.0,2,7,7,41.734968376,-87.721502497,POINT (-87.721502496527 41.73496837587),POINT (1151242.0769265401 1846607.2208622354),2022,Summer,1.0,3,1,1.0,0.0,0.0
P281101,PASSENGER,ea562d15d765a0778f27ab2324fd2cde7b13a3d06b53baf36cd07fb1dee936b59b1168ac1a78bbc6e41664c039601d474f67cded68ffeff78570c2c110e84c13,1193654.0,F,88.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,,,,,,,,,,,2022-01-04 15:41:00,30,CLEAR,DAYLIGHT,REAR END,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",01/04/2022 03:44:00 PM,FOLLOWING TOO CLOSELY,UNABLE TO DETERMINE,,3,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,6.0,0.0,15,3,1,41.848332054,-87.724525976,POINT (-87.724525975961 41.848332054461),POINT (1150124.321578961 1887910.288013877),2022,Winter,0.0,1,2,3.0,0.0,0.0
O1441018,DRIVER,93b7516c42f77483ee0abb83f5039f88c5a012e1c7410ca38efb2ebecf6072b2409bc67ab078b2e906f11d832443e89eaf2289bcee00f285a413b39ba6627933,1369538.0,F,34.0,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,UNKNOWN,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,,,2022-10-15 06:50:00,30,CLEAR,DAYLIGHT,REAR END,FOUR WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",10/15/2022 07:35:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6,7,10,41.722672903,-87.55122198,POINT (-87.551221979784 41.722672902536),POINT (1197759.1619913718 1842503.2378575306),2022,Fall,0.0,4,1,4.0,0.0,0.0
O1441594,DRIVER,14b417ca1ac0040144fd5c33a0dc8bc1ab363f4fafbed76be899eac9d1d6b277694a306987bbc0109827c28f4565cd08a14b61e613361f254492e3f46c2a55b5,1370096.0,M,18.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,IMPROPER LANE CHANGE,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-10-15 23:00:00,30,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,N,"OVER $1,500",10/15/2022 11:30:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23,7,10,41.777937249,-87.761856219,POINT (-87.761856218606 41.777937249096),POINT (1140123.9490770074 1862188.951048925),2022,Fall,1.0,4,1,3.0,0.0,0.0
O1477707,DRIVER,56b212998a790920377d82d1cd2fa3d4124fed456b9a7f495c28668d83c95098cecab9a43040935c50daffbc0ef3bdeba0bede82daf96f2df9c01f798da0773e,1404594.0,M,18.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,FAILED TO YIELD,MOVING VEHICLES,NORMAL,,,,TEST NOT OFFERED,,,,2022-12-09 20:55:00,30,RAIN,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",12/09/2022 08:55:00 PM,FAILING TO YIELD RIGHT-OF-WAY,FAILING TO YIELD RIGHT-OF-WAY,,2,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,6.0,0.0,20,6,12,41.921988742,-87.644379496,POINT (-87.644379496238 41.921988742009),POINT (1171745.480322233 1914915.739734663),2022,Winter,1.0,1,1,2.0,0.0,0.0
O1442094,DRIVER,0e06c25cd2a3418622887a05ce137d5c3fcf7b6415af2089a890110e776b28370f12f5b31f852a6eecae1814c685d19cc7162b32908c146fcbfa44eaba8a3805,1370578.0,M,48.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,IMPROPER BACKING,UNKNOWN,UNKNOWN,,,,TEST NOT OFFERED,,,,2022-10-15 21:55:00,30,UNKNOWN,"DARKNESS, LIGHTED ROAD",REAR TO FRONT,UNKNOWN INTERSECTION TYPE,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",10/16/2022 07:50:00 PM,IMPROPER BACKING,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,21,7,10,41.886611404,-87.619036115,POINT (-87.61903611456 41.886611404033),POINT (1178749.9447415057 1902080.64017505),2022,Fall,1.0,4,1,2.0,0.0,0.0
O1412046,DRIVER,f0997fa1acb549cd34eaf676b1e623befdd5ac7cc9833cee699557bed54328bc870098532d0d5259927b130581bb4d0885cd47f9eb2405018a4cb4e8c148d75e,1341837.0,F,29.0,"DEPLOYED, COMBINATION",NONE,NONINCAPACITATING INJURY,TOO FAST FOR CONDITIONS,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-09-03 03:26:00,30,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",09/03/2022 03:26:00 AM,FAILING TO REDUCE SPEED TO AVOID CRASH,UNABLE TO DETERMINE,,4,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3,7,9,42.005810293,-87.660834745,POINT (-87.660834744741 42.005810292704),POINT (1167027.5038888962 1945425.1178637736),2022,Fall,0.0,4,1,1.0,1.0,0.0
O1299656,DRIVER,2415936e9e55c8eb83d8e7c3a35472a6ada03eddcb725e4758057a5fc78d8117684e1d6baf6f83581cb1fde362f211e0afd5c02322a8de07fb6ad7990623e1f0,1234200.0,F,20.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,OTHER,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,,2022-03-16 09:10:00,45,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",03/16/2022 09:15:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9,4,3,41.830165274,-87.605550954,POINT (-87.605550953535 41.830165274392),POINT (1182596.2681254323 1881542.633090086),2022,Spring,0.0,2,1,2.0,0.0,0.0
O1311033,DRIVER,64c3959e1022130d6b5a3064e9a267aa6133a65b0379c0a37d43837725e5bbba64f87572e3802c3b89a391461ea0947a63078ba88996653989e49a840ba12ec5,1245103.0,M,26.0,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,NONE,UNKNOWN,NORMAL,,,,TEST NOT OFFERED,,,,2022-04-03 21:56:00,30,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",04/03/2022 09:56:00 PM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,,3,INCAPACITATING INJURY,2.0,0.0,1.0,1.0,0.0,1.0,0.0,21,1,4,41.762523909,-87.585776806,POINT (-87.585776806459 41.762523908843),POINT (1188199.8004163948 1856940.776632201),2022,Spring,1.0,2,1,4.0,0.0,0.0
O1491171,DRIVER,7711eaa7d1ea37c12408d127f3f68502b45b36575136a47e703fe088c27aed516f3a34f31b9d06ffe5dbf80d5cf3a34cddcb4d997b722d4803a92a3b4db56198,1417534.0,F,40.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,UNKNOWN,NOT OBSCURED,NORMAL,,,,TEST NOT OFFERED,,,Y,2022-12-30 20:50:00,30,CLEAR,"DARKNESS, LIGHTED ROAD",ANGLE,UNKNOWN INTERSECTION TYPE,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"OVER $1,500",12/31/2022 12:30:00 PM,NOT APPLICABLE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20,6,12,41.889925209,-87.635386719,POINT (-87.63538671872 41.889925208878),POINT (1174287.901705795 1903251.5534391012),2022,Winter,0.0,1,1,3.0,0.0,0.0
