PERSON_ID,PERSON_TYPE,CRASH_RECORD_ID,VEHICLE_ID,SEX,AGE,AIRBAG_DEPLOYED,EJECTION,INJURY_CLASSIFICATION,DRIVER_ACTION,DRIVER_VISION,PHYSICAL_CONDITION,PEDPEDAL_ACTION,PEDPEDAL_VISIBILITY,PEDPEDAL_LOCATION,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,DOORING_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,geometry,YEAR,ADDRESS
O964174,DRIVER,36dbc4e79164477af6213c69a9cdefa6dfac022c65e6a8581e3ebf8fb9eb65e2d0c8b8e68a5f4143970795a18b80af48a65f3734edac10451c2e6c0521d130e2,913791.0,M,63.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,DISREGARDED CONTROL DEVICES,NOT OBSCURED,NORMAL,,,,,2020-09-23 05:20:00,25,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,T-INTERSECTION,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",09/24/2020 04:03:00 PM,DISREGARDING STOP SIGN,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5,4,9,41.997989835,-87.681045021,POINT (-87.681045020524 41.997989834773),POINT (1161556.2651357246 1942532.7935393492),2020,2020 W DEVON AVE
O919927,DRIVER,2d375017df66d7a480ae73e7fa6c30a99cdbf2538ec8fc58095459fc3f074404b038ff480af39d4957b65e0d5fc217a693633efeaa24b506be915622dde0dffd,872162.0,M,26.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,,2020-07-16 23:17:00,35,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,FOUR WAY,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",07/16/2020 11:17:00 PM,IMPROPER TURNING/NO SIGNAL,UNABLE TO DETERMINE,,4,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,6.0,0.0,23,5,7,41.659076075,-87.559364801,POINT (-87.559364801272 41.659076074599),POINT (1195744.4506951144 1819309.223576829),2020,2629 E 130TH ST
O938469,DRIVER,df3fec1014aae871de64a4b2116d004c0a39a16a6dc4d084c5edddc14ff8f336a80ce7353a86e9b9834cbbbb7cfd4e5c316fd00cd5023843c6a49bb9d493cb18,889632.0,M,22.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,,2020-08-14 17:00:00,10,CLEAR,DAYLIGHT,OTHER OBJECT,OTHER,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,$500 OR LESS,08/14/2020 06:30:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,,1,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17,6,8,41.891948278,-87.614363497,POINT (-87.614363497175 41.891948277674),POINT (1180005.99000007 1904036.022227708),2020,530 N LAKE SHORE DR NB
O983689,DRIVER,a99cbd99143aa5cb8371c1f872e0310613364e4fa5e3135678ac3544e181f8afa6756a96ac75d3f0c4331fff70c15ce286efc85e68d1e67a1d629e0d8655a749,932199.0,F,34.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,OTHER,UNKNOWN,EMOTIONAL,,,,,2020-10-26 14:10:00,30,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",10/26/2020 02:13:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,4,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,4.0,0.0,14,2,10,41.839425979,-87.694944237,POINT (-87.694944237252 41.839425978748),POINT (1158208.2570408871 1884723.4728330316),2020,2859 S CALIFORNIA AVE
O887265,DRIVER,b6a54760ac4daac244a98afc9e480144bac3616a6b0cbf3b6c33f30ad1e0380bc7dfa429bfa000db978f4c6984876042981953f2feb4ff8776346046495bc83a,841697.0,F,,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,OTHER,UNKNOWN,UNKNOWN,,,,,2020-05-22 15:40:00,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,ONE-WAY,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,"OVER $1,500",05/22/2020 04:27:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,15,6,5,41.736586782,-87.625599335,POINT (-87.625599334506 41.736586782204),POINT (1177413.0184105174 1847397.6150257534),2020,8650 S LAFAYETTE AVE
O974790,DRIVER,c0f85a8ecf050330cfb59520d41ffc6989957cf1e5d8fcca882949c30c7959b7d293e392fe4621729f1994abbcc21a9dc8d9e71b9aa711bb7edf62724a864a11,923754.0,X,,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,UNKNOWN,UNKNOWN,UNKNOWN,,,,,2020-10-11 08:00:00,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,DRY,UNKNOWN,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",10/11/2020 08:45:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,3,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,1,10,41.797032703,-87.584138433,POINT (-87.584138433142 41.79703270328),POINT (1188537.2287103627 1869519.440881599),2020,5436 S HYDE PARK BLVD
P218305,PASSENGER,685ffabccc5cdd72eeaecbddd6e8d286eb3150b1e69a5081b0fc34a01de7e1df220508c1d446f13cb3ad76a35de28412049cccf1665eae42fbe5a6b37279a9e7,907661.0,M,19.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,,,,,,,,2020-09-13 21:53:00,30,SLEET/HAIL,"DARKNESS, LIGHTED ROAD",REAR END,FOUR WAY,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",09/13/2020 09:53:00 PM,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,0.0,21,1,9,41.880480752,-87.755130433,POINT (-87.755130432965 41.880480751702),POINT (1141706.9655228183 1899567.5568430983),2020,5200 W MADISON ST
O858809,DRIVER,552d7f169d4477570dbd33bf517bae0e50e8b877796f315ade0ea11a25b0cbe181090e5619fd1d5200d06389ed1d653428bd1da8b74c0e3fe7e699ae6cf15bc1,814928.0,F,75.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,OTHER,UNKNOWN,NORMAL,,,,,2020-03-09 18:00:00,30,RAIN,DUSK,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),WET,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"OVER $1,500",03/09/2020 06:00:00 PM,DRIVING SKILLS/KNOWLEDGE/EXPERIENCE,UNABLE TO DETERMINE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,18,2,3,41.898775227,-87.734157339,POINT (-87.734157339353 41.898775227341),POINT (1147371.8577435373 1906273.2219713838),2020,4313 W AUGUSTA BLVD
P224173,PASSENGER,9604d9b736193008fe9abe0241e2241543aa7aaec9834b0ae0251c3feb67da73787490ad4f3039a6b61d0f67441ae4717c43a852357c40f2e54f32f497b51b97,934951.0,M,19.0,"DEPLOYED, SIDE",NONE,NO INDICATION OF INJURY,,,,,,,,2020-10-31 16:40:00,30,CLEAR,DAYLIGHT,ANGLE,T-INTERSECTION,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,"OVER $1,500",10/31/2020 04:42:00 PM,DISREGARDING TRAFFIC SIGNALS,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,9.0,0.0,16,7,10,41.880481166,-87.642762729,POINT (-87.64276272913 41.880481166477),POINT (1172307.234201103 1899793.9000573936),2020,100 S JEFFERSON ST
O901481,DRIVER,f7ecc2c4d8f50f3fb74139b44882aa788274b68b52f17acef6a3a0ab30c4b5f339b58dc260c871c05511e333d038f0cf7d8b8af889b50b2183002815e47148d2,854800.0,X,,NOT APPLICABLE,UNKNOWN,NO INDICATION OF INJURY,UNKNOWN,UNKNOWN,UNKNOWN,,,,,2020-06-18 01:39:00,30,CLEAR,"DARKNESS, LIGHTED ROAD",SIDESWIPE SAME DIRECTION,NOT DIVIDED,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",06/18/2020 01:50:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,,3,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,5,6,41.745033464,-87.585236398,POINT (-87.585236397998 41.745033464479),POINT (1188402.6556317422 1850568.6853219722),2020,8233 S STONY ISLAND AVE
P200582,PASSENGER,425414daaa08d94603bc1a15699d80c5228c8471aadd707faf86e484f2ed33c1e64ef9c7fa4862c5120b6ba3712a1f7551267978a7dd9336596e18c87460a69f,833233.0,F,38.0,"DEPLOYED, COMBINATION",NONE,NO INDICATION OF INJURY,,,,,,,,2020-05-02 05:00:00,25,CLEAR,DAWN,PARKED MOTOR VEHICLE,NOT DIVIDED,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",05/02/2020 05:00:00 AM,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",UNABLE TO DETERMINE,,3,NONINCAPACITATING INJURY,1.0,0.0,0.0,1.0,0.0,2.0,0.0,5,7,5,41.786301801,-87.649665278,POINT (-87.649665278037 41.7863018015),POINT (1170700.6465170332 1865460.2547181605),2020,5921 S MORGAN ST
O914213,DRIVER,4440a916af319397e14512b84318aa8c8e8c7b0bac58ac8f3d04e17d4c6f479adc232a986300cfd004632006e72b4471612251ec13c75d1a4be2d536546d2ea9,866739.0,F,,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,,2020-07-07 12:30:00,10,CLEAR,DAYLIGHT,REAR TO SIDE,PARKING LOT,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",07/07/2020 12:47:00 PM,IMPROPER BACKING,IMPROPER BACKING,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,12,3,7,41.681092492,-87.680967924,POINT (-87.680967924193 41.681092491646),POINT (1162454.2940737507 1827056.74910264),2020,11652 S WESTERN AVE
O845362,DRIVER,2e88663f20bc6d4e6fe9d099020f3bb83277b24a38568451f691ad62ec32218e0696aacab1970071f4bdca60a14f252c37aceacc0614a3574b9a84ac5c5ed590,802245.0,F,26.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,,2020-02-18 15:18:00,30,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,"$501 - $1,500",02/18/2020 04:30:00 PM,IMPROPER LANE USAGE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15,3,2,41.771884028,-87.683588402,POINT (-87.683588402063 41.771884027712),POINT (1161488.7476351284 1860134.7883667615),2020,6700 S WESTERN AVE
O951437,DRIVER,3eeff1ba61916e75f8fca958cf89113e383c7a1a0f0e90859b11ad848b14c217b83b6379198ff51577571e77dbbba4a0ca0bc726b11a8580e7c5d09f2a8fef69,901845.0,F,27.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,NONE,UNKNOWN,NORMAL,,,,,2020-09-03 19:30:00,30,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,"OVER $1,500",09/03/2020 08:00:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,19,5,9,41.968341101,-87.708528882,POINT (-87.708528882333 41.96834110122),POINT (1154164.3297472296 1931672.9330668508),2020,3201 W LAWRENCE AVE
O826344,DRIVER,6507ca576d71cbf9909ce1e960431fd1c84f7d25636710e2e35f85a87d0279cc00ad759a2b224847075d3780eadb9c32793d03e58144d9fdf4bd1de578619f04,784424.0,X,,DEPLOYMENT UNKNOWN,UNKNOWN,NO INDICATION OF INJURY,UNKNOWN,UNKNOWN,UNKNOWN,,,,N,2020-01-21 08:21:00,30,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,"$501 - $1,500",01/21/2020 08:53:00 AM,NOT APPLICABLE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8,3,1,41.884126765,-87.764915604,POINT (-87.764915604269 41.884126765205),POINT (1139033.4454059035 1900878.357343915),2020,5559 W WEST END AVE
O938779,DRIVER,97ccf94c575931d842d63e436d202ed5bd8aebb26dffedb09314a5dad7def21dae32ae95e2498ab0bcc276d9fb4da7a6d88d7a764a65a0bb43340fb4b4b4a33d,889929.0,M,,DEPLOYMENT UNKNOWN,NONE,NO INDICATION OF INJURY,DISREGARDED CONTROL DEVICES,UNKNOWN,UNKNOWN,,,,,2020-08-15 06:17:00,30,CLEAR,DAWN,SIDESWIPE SAME DIRECTION,FOUR WAY,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,"OVER $1,500",08/15/2020 06:55:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6,7,8,41.794644395,-87.631406537,POINT (-87.631406536705 41.794644394705),POINT (1175655.3969356734 1868540.3660121681),2020,220 W GARFIELD BLVD
O924859,DRIVER,2ac9e24f012fc78c6c9c81f81e46df072656bf9182522e2bac209564202e995de427826ac05bbc052ea3df8df1301a81437c88169231eb804bd48d32ebe173fa,876828.0,F,47.0,NOT APPLICABLE,NONE,NO INDICATION OF INJURY,NONE,NOT OBSCURED,NORMAL,,,,,2020-07-25 01:30:00,30,CLEAR,"DARKNESS, LIGHTED ROAD",TURNING,NOT DIVIDED,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,"OVER $1,500",07/25/2020 01:39:00 AM,DISREGARDING TRAFFIC SIGNALS,FAILING TO REDUCE SPEED TO AVOID CRASH,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1,7,7,41.877718554,-87.681383973,POINT (-87.68138397309 41.877718554362),POINT (1161797.4338539205 1898704.9453484544),2020,2158 W JACKSON BLVD
O878878,DRIVER,573e3ff1ac766c4ac3e8a5f2322f5b07879bc4dea00192974ad9431a74f1054765af6b31b654a0627fcbdbd3b11fd7a345b69c3488ebcd8bb8bbf14922b1457a,833785.0,F,36.0,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,FOLLOWED TOO CLOSELY,NOT OBSCURED,NORMAL,,,,,2020-05-03 11:15:00,35,CLEAR,DAYLIGHT,REAR END,DIVIDED - W/MEDIAN (NOT RAISED),DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,"$501 - $1,500",05/03/2020 11:20:00 AM,FOLLOWING TOO CLOSELY,NOT APPLICABLE,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,11,1,5,41.69152372,-87.710645461,POINT (-87.710645460768 41.691523720276),POINT (1154319.8767755777 1830797.7590411096),2020,3600 W 111TH ST
O934758,DRIVER,9fe9902a361f037934fab68fb258de5c4c4164a3465db0a9a3670294727fc15bfc579088e22839cb82cf35658c47730c85fca44775cd465ca8638c8bea338e7c,886146.0,F,,DID NOT DEPLOY,NONE,NO INDICATION OF INJURY,UNKNOWN,UNKNOWN,UNKNOWN,,,,,2020-08-09 01:38:00,35,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,FOUR WAY,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,Y,"OVER $1,500",08/09/2020 01:41:00 AM,UNABLE TO DETERMINE,NOT APPLICABLE,,3,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1,1,8,41.869096512,-87.720343884,POINT (-87.720343883573 41.869096512214),POINT (1151209.7493550614 1895484.902850192),2020,3800 W TAYLOR ST
